Cifras Oficiales de Población de los Municipios Españoles: Revisión del Padrón Municipal
Resumen por provincias
Población por provincias y sexo.
Unidades: Personas
;Total;;;;;;;;Hombres;;;;;;;;Mujeres;;;;;;;;
;2017;2016;2015;2014;2013;2012;2011;2010;2017;2016;2015;2014;2013;2012;2011;2010;2017;2016;2015;2014;2013;2012;2011;2010;
Total Nacional;4.6572132E7;4.6557008E7;4.6624382E7;4.6771341E7;4.7129783E7;4.7265321E7;4.7190493E7;4.7021031E7;2.2832861E7;2.284361E7;2.2890383E7;2.2985676E7;2.3196386E7;2.3298356E7;2.3283187E7;2.3226185E7;2.3739271E7;2.3713398E7;2.3733999E7;2.3785665E7;2.3933397E7;2.3966965E7;2.3907306E7;2.3794846E7;
02 Albacete;390032.0;392118.0;394580.0;396987.0;400007.0;402837.0;402318.0;401682.0;194743.0;195841.0;197014.0;198230.0;200016.0;201640.0;201400.0;201396.0;195289.0;196277.0;197566.0;198757.0;199991.0;201197.0;200918.0;200286.0;
03 Alicante/Alacant;1825332.0;1836459.0;1855047.0;1868438.0;1945642.0;1943910.0;1934127.0;1926285.0;904711.0;911173.0;920920.0;928519.0;968927.0;969237.0;964560.0;961733.0;920621.0;925286.0;934127.0;939919.0;976715.0;974673.0;969567.0;964552.0;
04 Almería;706672.0;704297.0;701211.0;701688.0;699329.0;704219.0;702819.0;695560.0;359676.0;358223.0;356058.0;356663.0;355658.0;359547.0;361189.0;358112.0;346996.0;346074.0;345153.0;345025.0;343671.0;344672.0;341630.0;337448.0;
01 Araba/Álava;326574.0;324126.0;323648.0;321932.0;321417.0;322557.0;319227.0;317352.0;161354.0;160240.0;160294.0;159583.0;159622.0;160649.0;159041.0;158322.0;165220.0;163886.0;163354.0;162349.0;161795.0;161908.0;160186.0;159030.0;
33 Asturias;1034960.0;1042608.0;1051229.0;1061756.0;1068165.0;1077360.0;1081487.0;1084341.0;493911.0;497852.0;502175.0;507927.0;511346.0;516420.0;518571.0;520402.0;541049.0;544756.0;549054.0;553829.0;556819.0;560940.0;562916.0;563939.0;
05 Ávila;160700.0;162514.0;164925.0;167015.0;168825.0;171265.0;172704.0;171896.0;80674.0;81630.0;82880.0;83998.0;85025.0;86434.0;87085.0;86728.0;80026.0;80884.0;82045.0;83017.0;83800.0;84831.0;85619.0;85168.0;
06 Badajoz;679884.0;684113.0;686730.0;690929.0;693729.0;694533.0;693921.0;692137.0;336566.0;338954.0;340376.0;342654.0;344296.0;344690.0;344291.0;343363.0;343318.0;345159.0;346354.0;348275.0;349433.0;349843.0;349630.0;348774.0;
07 Balears, Illes;1115999.0;1107220.0;1104479.0;1103442.0;1111674.0;1119439.0;1113114.0;1106049.0;554925.0;550682.0;549678.0;549801.0;554603.0;560091.0;557577.0;555204.0;561074.0;556538.0;554801.0;553641.0;557071.0;559348.0;555537.0;550845.0;
08 Barcelona;5576037.0;5542680.0;5523922.0;5523784.0;5540925.0;5552050.0;5529099.0;5511147.0;2718621.0;2704771.0;2696360.0;2699040.0;2711403.0;2722394.0;2715628.0;2710304.0;2857416.0;2837909.0;2827562.0;2824744.0;2829522.0;2829656.0;2813471.0;2800843.0;
48 Bizkaia;1148302.0;1147576.0;1148775.0;1151905.0;1156447.0;1158439.0;1155772.0;1153724.0;554289.0;554342.0;554832.0;556772.0;559573.0;561134.0;560178.0;559359.0;594013.0;593234.0;593943.0;595133.0;596874.0;597305.0;595594.0;594365.0;
09 Burgos;358171.0;360995.0;364002.0;366900.0;371248.0;374970.0;375657.0;374826.0;178919.0;180418.0;182142.0;183882.0;186638.0;189124.0;189652.0;189454.0;179252.0;180577.0;181860.0;183018.0;184610.0;185846.0;186005.0;185372.0;
10 Cáceres;400036.0;403665.0;406267.0;408703.0;410275.0;413597.0;415446.0;415083.0;198494.0;200285.0;201702.0;202962.0;203758.0;205634.0;206573.0;206358.0;201542.0;203380.0;204565.0;205741.0;206517.0;207963.0;208873.0;208725.0;
11 Cádiz;1239435.0;1239889.0;1240284.0;1240175.0;1238492.0;1245164.0;1243519.0;1236739.0;612191.0;612858.0;613094.0;613340.0;612770.0;616686.0;615865.0;612833.0;627244.0;627031.0;627190.0;626835.0;625722.0;628478.0;627654.0;623906.0;
39 Cantabria;580295.0;582206.0;585179.0;588656.0;591888.0;593861.0;593121.0;592250.0;281808.0;282988.0;284788.0;286782.0;288643.0;289999.0;289872.0;289931.0;298487.0;299218.0;300391.0;301874.0;303245.0;303862.0;303249.0;302319.0;
12 Castellón/Castelló;575470.0;579245.0;582327.0;587508.0;601699.0;604564.0;604344.0;604274.0;285467.0;287802.0;289720.0;292804.0;300992.0;302927.0;302855.0;303490.0;290003.0;291443.0;292607.0;294704.0;300707.0;301637.0;301489.0;300784.0;
13 Ciudad Real;502578.0;506888.0;513713.0;519613.0;524962.0;530250.0;530175.0;529453.0;248328.0;250847.0;254571.0;257918.0;260888.0;264067.0;264078.0;264098.0;254250.0;256041.0;259142.0;261695.0;264074.0;266183.0;266097.0;265355.0;
14 Córdoba;788219.0;791610.0;795611.0;799402.0;802422.0;804498.0;805857.0;805108.0;386736.0;388470.0;390559.0;392644.0;394189.0;395300.0;395858.0;395570.0;401483.0;403140.0;405052.0;406758.0;408233.0;409198.0;409999.0;409538.0;
15 Coruña, A;1120294.0;1122799.0;1127196.0;1132735.0;1138161.0;1143911.0;1147124.0;1146458.0;537311.0;538878.0;541292.0;544075.0;547079.0;550009.0;551476.0;551318.0;582983.0;583921.0;585904.0;588660.0;591082.0;593902.0;595648.0;595140.0;
16 Cuenca;198718.0;201071.0;203841.0;207449.0;211899.0;218036.0;219138.0;217716.0;99821.0;101097.0;102583.0;104586.0;107111.0;110460.0;111052.0;110384.0;98897.0;99974.0;101258.0;102863.0;104788.0;107576.0;108086.0;107332.0;
20 Gipuzkoa;719282.0;717832.0;716834.0;715148.0;713818.0;712097.0;709607.0;707263.0;351262.0;350998.0;350799.0;350014.0;349551.0;348655.0;347653.0;347027.0;368020.0;366834.0;366035.0;365134.0;364267.0;363442.0;361954.0;360236.0;
17 Girona;755716.0;753576.0;753054.0;756156.0;761632.0;761627.0;756810.0;753046.0;377615.0;376943.0;376936.0;379175.0;382685.0;383428.0;381448.0;380773.0;378101.0;376633.0;376118.0;376981.0;378947.0;378199.0;375362.0;372273.0;
18 Granada;912938.0;915392.0;917297.0;919455.0;919319.0;922928.0;924550.0;918072.0;449821.0;451148.0;451907.0;453407.0;453670.0;456216.0;457084.0;453734.0;463117.0;464244.0;465390.0;466048.0;465649.0;466712.0;467466.0;464338.0;
19 Guadalajara;253310.0;252882.0;253686.0;255426.0;257723.0;259537.0;256461.0;251563.0;128341.0;128265.0;128952.0;130197.0;131796.0;133009.0;131532.0;129170.0;124969.0;124617.0;124734.0;125229.0;125927.0;126528.0;124929.0;122393.0;
21 Huelva;518930.0;519596.0;520017.0;519229.0;520668.0;522862.0;521968.0;518081.0;257613.0;257571.0;257699.0;257542.0;258387.0;259370.0;259362.0;257716.0;261317.0;262025.0;262318.0;261687.0;262281.0;263492.0;262606.0;260365.0;
22 Huesca;219702.0;221079.0;222909.0;224909.0;226329.0;227609.0;228361.0;228566.0;110854.0;111597.0;112626.0;113840.0;114781.0;115512.0;116224.0;116524.0;108848.0;109482.0;110283.0;111069.0;111548.0;112097.0;112137.0;112042.0;
23 Jaén;643484.0;648250.0;654170.0;659033.0;664916.0;670242.0;670600.0;670761.0;318430.0;320862.0;323861.0;326583.0;330505.0;334226.0;333384.0;332900.0;325054.0;327388.0;330309.0;332450.0;334411.0;336016.0;337216.0;337861.0;
24 León;468316.0;473604.0;479395.0;484694.0;489752.0;494451.0;497799.0;499284.0;228059.0;230727.0;233664.0;236537.0;239179.0;241749.0;243316.0;244199.0;240257.0;242877.0;245731.0;248157.0;250573.0;252702.0;254483.0;255085.0;
25 Lleida;432384.0;434041.0;436029.0;438001.0;440915.0;443032.0;442308.0;439768.0;219059.0;219917.0;220719.0;221891.0;223779.0;225345.0;225388.0;224397.0;213325.0;214124.0;215310.0;216110.0;217136.0;217687.0;216920.0;215371.0;
27 Lugo;333634.0;336527.0;339386.0;342748.0;346005.0;348902.0;351530.0;353504.0;161775.0;163154.0;164605.0;166325.0;168013.0;169536.0;170854.0;171983.0;171859.0;173373.0;174781.0;176423.0;177992.0;179366.0;180676.0;181521.0;
28 Madrid;6507184.0;6466996.0;6436996.0;6454440.0;6495551.0;6498560.0;6489680.0;6458684.0;3115522.0;3098631.0;3087022.0;3099641.0;3123724.0;3130241.0;3132844.0;3124438.0;3391662.0;3368365.0;3349974.0;3354799.0;3371827.0;3368319.0;3356836.0;3334246.0;
29 Málaga;1630615.0;1629298.0;1628973.0;1621968.0;1652999.0;1641098.0;1625827.0;1609557.0;800551.0;800630.0;800767.0;797639.0;813878.0;808527.0;801126.0;793575.0;830064.0;828668.0;828206.0;824329.0;839121.0;832571.0;824701.0;815982.0;
30 Murcia;1470273.0;1464847.0;1467288.0;1466818.0;1472049.0;1474449.0;1470069.0;1461979.0;736238.0;733555.0;735434.0;735889.0;739842.0;742727.0;741581.0;738627.0;734035.0;731292.0;731854.0;730929.0;732207.0;731722.0;728488.0;723352.0;
31 Navarra;643234.0;640647.0;640476.0;640790.0;644477.0;644566.0;642051.0;636924.0;318671.0;317840.0;317885.0;318486.0;320933.0;321453.0;320656.0;318423.0;324563.0;322807.0;322591.0;322304.0;323544.0;323113.0;321395.0;318501.0;
32 Ourense;311680.0;314853.0;318391.0;322293.0;326724.0;330257.0;333257.0;335219.0;149689.0;151226.0;153043.0;155090.0;157425.0;159175.0;160570.0;161346.0;161991.0;163627.0;165348.0;167203.0;169299.0;171082.0;172687.0;173873.0;
34 Palencia;163390.0;164644.0;166035.0;167609.0;168955.0;170713.0;171668.0;172510.0;80943.0;81609.0;82232.0;82997.0;83696.0;84630.0;85118.0;85543.0;82447.0;83035.0;83803.0;84612.0;85259.0;86083.0;86550.0;86967.0;
35 Palmas, Las;1100480.0;1097800.0;1098406.0;1100027.0;1103850.0;1100813.0;1096980.0;1090605.0;548716.0;547928.0;548849.0;550166.0;553010.0;552185.0;551241.0;548699.0;551764.0;549872.0;549557.0;549861.0;550840.0;548628.0;545739.0;541906.0;
36 Pontevedra;942731.0;944346.0;947374.0;950919.0;955050.0;958428.0;963511.0;962472.0;455617.0;456551.0;458114.0;460167.0;462605.0;464608.0;466691.0;465900.0;487114.0;487795.0;489260.0;490752.0;492445.0;493820.0;496820.0;496572.0;
26 Rioja, La;315381.0;315794.0;317053.0;319002.0;322027.0;323609.0;322955.0;322415.0;155508.0;155969.0;156733.0;158090.0;160159.0;161574.0;161582.0;161884.0;159873.0;159825.0;160320.0;160912.0;161868.0;162035.0;161373.0;160531.0;
37 Salamanca;333603.0;335985.0;339395.0;342459.0;345548.0;350564.0;352986.0;353619.0;162273.0;163613.0;165379.0;167061.0;168950.0;171489.0;172584.0;172934.0;171330.0;172372.0;174016.0;175398.0;176598.0;179075.0;180402.0;180685.0;
38 Santa Cruz de Tenerife;1007641.0;1004124.0;1001900.0;1004788.0;1014829.0;1017531.0;1029789.0;1027914.0;496397.0;494910.0;494354.0;496207.0;502292.0;504055.0;510350.0;510007.0;511244.0;509214.0;507546.0;508581.0;512537.0;513476.0;519439.0;517907.0;
40 Segovia;154184.0;155652.0;157570.0;159303.0;161702.0;163701.0;164169.0;164268.0;77443.0;78271.0;79355.0;80316.0;81598.0;82695.0;82967.0;83034.0;76741.0;77381.0;78215.0;78987.0;80104.0;81006.0;81202.0;81234.0;
41 Sevilla;1939527.0;1939775.0;1941480.0;1941355.0;1942155.0;1938974.0;1928962.0;1917097.0;948817.0;949432.0;950587.0;950883.0;951597.0;950413.0;945766.0;940416.0;990710.0;990343.0;990893.0;990472.0;990558.0;988561.0;983196.0;976681.0;
42 Soria;88903.0;90040.0;91006.0;92221.0;93291.0;94522.0;95223.0;95258.0;44986.0;45595.0;46077.0;46723.0;47336.0;47979.0;48347.0;48400.0;43917.0;44445.0;44929.0;45498.0;45955.0;46543.0;46876.0;46858.0;
